img_name,label,xmin,ymin,xmax,ymax
0.png,1,104,20,143,58
1.png,2,68,175,118,223
2.png,1,163,173,218,239
3.png,2,48,157,84,201
4.png,1,32,34,90,86
5.png,2,69,201,120,245
6.png,1,167,99,212,135
7.png,2,157,67,197,108
8.png,1,131,157,189,219
9.png,2,163,93,217,158
10.png,1,94,15,153,71
11.png,2,29,112,82,176
12.png,1,150,190,194,239
13.png,2,126,93,172,139
14.png,1,113,154,149,204
15.png,2,42,111,87,159
16.png,1,187,66,242,118
17.png,2,54,94,96,139
18.png,1,70,93,111,149
19.png,2,111,107,163,151
20.png,1,129,132,180,174
21.png,2,159,73,204,119
22.png,1,45,62,97,135
23.png,2,144,10,185,52
24.png,1,127,169,179,227
25.png,2,31,65,80,112
26.png,1,92,23,141,68
27.png,2,126,77,164,118
28.png,1,9,154,52,198
29.png,2,171,106,223,178
30.png,1,55,45,113,102
31.png,2,184,155,223,199
32.png,1,31,163,73,210
33.png,2,196,107,246,154
34.png,1,8,16,59,84
35.png,2,148,84,204,131
36.png,1,147,128,198,172
37.png,2,104,49,161,108
38.png,1,69,125,112,163
39.png,2,170,94,232,151
40.png,1,59,132,117,181
41.png,2,67,107,107,145
42.png,1,167,105,220,149
43.png,2,34,25,83,89
44.png,1,106,196,159,241
45.png,2,112,63,149,102
46.png,1,96,130,136,172
47.png,2,204,203,244,243
48.png,1,42,81,99,139
49.png,2,10,166,54,208
50.png,1,20,181,76,226
51.png,2,47,26,95,82
52.png,1,65,54,127,117
53.png,2,111,53,165,95
54.png,1,168,173,229,225
55.png,2,123,46,177,111
56.png,1,135,88,174,141
57.png,2,196,19,234,60
58.png,1,154,12,190,60
59.png,2,87,83,135,120
60.png,1,153,168,222,220
61.png,2,122,198,180,242
62.png,1,169,195,235,250
63.png,2,86,6,133,65
64.png,1,113,94,170,151
65.png,2,124,122,198,176
66.png,1,51,40,109,92
67.png,2,104,177,154,223
68.png,1,60,140,111,211
69.png,2,144,68,205,131
70.png,1,151,119,218,172
71.png,2,63,125,111,172
72.png,1,168,9,225,70
73.png,2,162,106,203,142
74.png,1,155,134,217,196
75.png,2,132,65,173,102
76.png,1,107,107,150,153
77.png,2,99,172,159,237
78.png,1,145,48,205,102
79.png,2,44,36,87,74
80.png,1,92,132,159,188
81.png,2,26,160,72,220
82.png,1,25,206,69,245
83.png,2,180,170,228,211
84.png,1,110,80,163,129
85.png,2,76,121,141,179
86.png,1,175,173,221,229
87.png,2,16,79,73,141
